,nonsense,arabic,english 
768,فهو 00000,فهو ,Being
769,تفهم 00000,تفهم ,Understand
770,كهذا 00000,كهذا ,Like this
771,أتريد 00000,أتريد ,you want to
772,أحضر 00000,أحضر ,Bring
773,بشيء 00000,بشيء ,Something
774,سوى 00000,سوى ,but
775,موعد 00000,موعد ,date
776,أشهر 00000,أشهر ,Months
777,مدينة 00000,مدينة ,city
778,ممكن 00000,ممكن ,maybe
779,بعضنا 00000,بعضنا ,Some of us
780,لسنا 00000,لسنا ,We are not
781,الواضح 00000,الواضح ,Clear
782,الكبير 00000,الكبير ,Great
783,انتهى 00000,انتهى ,is over
784,النوع 00000,النوع ,Type
785,you 00000,you ,You
786,الملك 00000,الملك ,the king
787,إليها 00000,إليها ,to her
788,الوضع 00000,الوضع ,the situation
789,العائلة 00000,العائلة ,the family
790,ذو 00000,ذو ,Baccalaureate
791,أسمع 00000,أسمع ,Listen
792,قادم 00000,قادم ,coming
793,شركة 00000,شركة ,a company
794,هذة 00000,هذة ,this is
795,بنفسك 00000,بنفسك ,by yourself
796,تأخذ 00000,تأخذ ,Take
797,تخبرني 00000,تخبرني ,You tell me
798,الزواج 00000,الزواج ,marriage
799,أتيت 00000,أتيت ,I came
800,نحو 00000,نحو ,Toward
801,ولكني 00000,ولكني ,But
802,إذهب 00000,إذهب ,Go
803,مليون 00000,مليون ,million
804,صاح 00000,صاح ,Hoot
805,نسيت 00000,نسيت ,I forgot
806,القضية 00000,القضية ,the case
807,عملية 00000,عملية ,proces
808,حبيبتي 00000,حبيبتي ,My love
809,د 00000,د ,Dr
810,مستحيل 00000,مستحيل ,No way
811,فعلته 00000,فعلته ,I did it
812,الحق 00000,الحق ,Right
813,الرب 00000,الرب ,God
814,ذاك 00000,ذاك ,that
815,الأخرى 00000,الأخرى ,The other
816,عدة 00000,عدة ,several
817,آمل 00000,آمل ,hopefull
818,وكل 00000,وكل ,And all
819,دي 00000,دي ,De
820,علم 00000,علم ,Science
821,تذكر 00000,تذكر ,to remember
822,تعود 00000,تعود ,Return
823,خمس 00000,خمس ,five
824,أمك 00000,أمك ,Your mother
825,اعتقدت 00000,اعتقدت ,I believed
826,سيحدث 00000,سيحدث ,It will happen
827,قول 00000,قول ,say
828,يحتاج 00000,يحتاج ,Need
829,ألف 00000,ألف ,one thousand
830,اكون 00000,اكون ,I be
831,أثناء 00000,أثناء ,during
832,ولكنه 00000,ولكنه ,But
833,طلبت 00000,طلبت ,Requested
834,قيد 00000,قيد ,Restriction
835,خلف 00000,خلف ,behind
836,وصلت 00000,وصلت ,Arrived
837,دعيني 00000,دعيني ,Leave me
838,الحظ 00000,الحظ ,Luck
839,تعتقدين 00000,تعتقدين ,You think
840,بعدها 00000,بعدها ,Then
841,تفكر 00000,تفكر ,Contemplate
842,صعب 00000,صعب ,Difficult
843,قل 00000,قل ,Say
844,نعلم 00000,نعلم ,Teach
845,ابن 00000,ابن ,Son
846,the 00000,the ,The
847,تصبح 00000,تصبح ,Become
848,عرض 00000,عرض ,Show
849,زلت 00000,زلت ,Remove
850,الصعب 00000,الصعب ,Difficult
851,مهم 00000,مهم ,Important
852,انتظري 00000,انتظري ,Wait
853,تفضل 00000,تفضل ,please enter
854,أربعة 00000,أربعة ,four
855,منكم 00000,منكم ,You are from you
856,أتعلمين 00000,أتعلمين ,You know
857,مساعدة 00000,مساعدة ,help
858,اسمه 00000,اسمه ,its name
859,آنسة 00000,آنسة ,Ms
860,اتصل 00000,اتصل ,Call
861,الحقيقي 00000,الحقيقي ,Real
862,وعندما 00000,وعندما ,And when
863,حسن 00000,حسن ,Hassan
864,النظر 00000,النظر ,look
865,القليل 00000,القليل ,Little
866,فقدت 00000,فقدت ,Lost
867,أسرع 00000,أسرع ,faster
868,سأقوم 00000,سأقوم ,I will do
869,للعمل 00000,للعمل ,for work
870,البداية 00000,البداية ,the start
871,بتلك 00000,بتلك ,That
872,يريدون 00000,يريدون ,They want
873,معهم 00000,معهم ,With them
874,يارجل 00000,يارجل ,Hey man
875,المناسب 00000,المناسب ,the appropriate
876,كن 00000,كن ,Be
877,يتحدث 00000,يتحدث ,He speaks
878,لأي 00000,لأي ,for any
879,عشرة 00000,عشرة ,ten
880,يمكننى 00000,يمكننى ,I can
881,جئت 00000,جئت ,I came
882,مشاكل 00000,مشاكل ,Problems
883,الشمس 00000,الشمس ,the sun
884,يعود 00000,يعود ,Back
885,أبحث 00000,أبحث ,Search
886,ظ 00000,ظ ,P
887,السؤال 00000,السؤال ,the question
888,أحصل 00000,أحصل ,Get
889,ببعض 00000,ببعض ,Some
890,بنفسي 00000,بنفسي ,by myself
891,اه 00000,اه ,Uh
892,يفترض 00000,يفترض ,Supposedly
893,بعيدا 00000,بعيدا ,Away
894,تقصد 00000,تقصد ,You mean
895,بكثير 00000,بكثير ,Much
896,ستفعل 00000,ستفعل ,you will do
897,وانت 00000,وانت ,And you
898,جاء 00000,جاء ,came
899,فكرت 00000,فكرت ,I think
900,تبدين 00000,تبدين ,You look
901,سأعود 00000,سأعود ,I'll come back
902,الدخول 00000,الدخول ,Access
903,الدم 00000,الدم ,the blood
904,أطفال 00000,أطفال ,Children
905,شرطة 00000,شرطة ,police
906,الثاني 00000,الثاني ,Second
907,بول 00000,بول ,pee
908,المعلومات 00000,المعلومات ,the information
909,يعد 00000,يعد ,Prepare
910,الجانب 00000,الجانب ,the side
911,تحمل 00000,تحمل ,Bearing
912,أعود 00000,أعود ,I come back
913,جريمة 00000,جريمة ,a crime
914,أمس 00000,أمس ,yesterday
915,الآخرين 00000,الآخرين ,Others
916,محق 00000,محق ,Right
917,سؤال 00000,سؤال ,A question
918,بكم 00000,بكم ,with you
919,التالي 00000,التالي ,next one
920,كرة 00000,كرة ,a ball
921,اقول 00000,اقول ,I say
922,ترك 00000,ترك ,to leave
923,الكلام 00000,الكلام ,talk
924,الأيام 00000,الأيام ,the days
925,الجزء 00000,الجزء ,Section
926,الداخل 00000,الداخل ,Inside
927,جهاز 00000,جهاز ,device
928,قتلت 00000,قتلت ,I kill
929,أننى 00000,أننى ,I am
930,انتي 00000,انتي ,you
931,رجاء 00000,رجاء ,please
932,البحث 00000,البحث ,search
933,بضعة 00000,بضعة ,a few
934,هـذا 00000,هـذا ,This
935,الحلقة 00000,الحلقة ,the ring
936,لويس 00000,لويس ,Lewis
937,عما 00000,عما ,About
938,واضح 00000,واضح ,Clear
939,جين 00000,جين ,Gene
940,إننا 00000,إننا ,We are
941,مستعد 00000,مستعد ,ready
942,أسوأ 00000,أسوأ ,worst
943,القديمة 00000,القديمة ,Old
944,الوصول 00000,الوصول ,Access
945,قط 00000,قط ,Never
946,بيل 00000,بيل ,Bic
947,ماري 00000,ماري ,Marie
948,اسمي 00000,اسمي ,My name is
949,يقولون 00000,يقولون ,They say
950,المخدرات 00000,المخدرات ,Drugs
951,ستة 00000,ستة ,six
952,المستشفى 00000,المستشفى ,the hospital
953,سنذهب 00000,سنذهب ,we will go
954,توقفي 00000,توقفي ,Stop
955,زال 00000,زال ,Remove
956,ماكس 00000,ماكس ,Max
957,اللحظة 00000,اللحظة ,the moment
958,معا 00000,معا ,together
959,مختلف 00000,مختلف ,Different
960,يزال 00000,يزال ,Remove
961,صوت 00000,صوت ,voice
962,ب 00000,ب ,B
963,كامل 00000,كامل ,Full
964,فعلا 00000,فعلا ,Really
965,مضحك 00000,مضحك ,funny
966,بأننا 00000,بأننا ,That we
967,يحب 00000,يحب ,Likes
968,طبيب 00000,طبيب ,Doctor
969,نرى 00000,نرى ,We see
970,أخذت 00000,أخذت ,I took
971,خطر 00000,خطر ,Risk
972,بعمل 00000,بعمل ,Work
973,الجريمة 00000,الجريمة ,the crime
974,عالم 00000,عالم ,Scientist
975,أكره 00000,أكره ,I hate
976,عليكم 00000,عليكم ,on you
977,لأنها 00000,لأنها ,Because she
978,السماء 00000,السماء ,The sky
979,الاشياء 00000,الاشياء ,The things
980,مركز 00000,مركز ,center
981,غدا 00000,غدا ,tomorrow
982,قطعة 00000,قطعة ,Piece
983,المنطقة 00000,المنطقة ,Region
984,جيمي 00000,جيمي ,Jimmy
985,خاصة 00000,خاصة ,especially
986,هنري 00000,هنري ,Henry
987,زوجتك 00000,زوجتك ,Your wife
988,الشئ 00000,الشئ ,Bit
989,بلى 00000,بلى ,indeed
990,الصورة 00000,الصورة ,Image
991,مقابل 00000,مقابل ,Opposite
992,الخطأ 00000,الخطأ ,The error
993,تعيش 00000,تعيش ,Live
994,وهذه 00000,وهذه ,And this
995,أهتم 00000,أهتم ,Take care of
996,القائد 00000,القائد ,Leader
997,الطائرة 00000,الطائرة ,The Plane
998,الكتاب 00000,الكتاب ,the book
999,أنـا 00000,أنـا ,Anna
1000,كثير 00000,كثير ,Many
1001,السنة 00000,السنة ,the year
1002,منتصف 00000,منتصف ,Middle
1003,بإمكاني 00000,بإمكاني ,I can
1004,الشارع 00000,الشارع ,Street
1005,ميلاد 00000,ميلاد ,birthday
1006,قضية 00000,قضية ,issue
1007,الهواء 00000,الهواء ,Air
1008,نفسها 00000,نفسها ,itself
1009,أنتظر 00000,أنتظر ,wait
1010,قم 00000,قم ,Stand up
1011,موجود 00000,موجود ,Existing
1012,طالما 00000,طالما ,as long
1013,أطلب 00000,أطلب ,I request
1014,مره 00000,مره ,Once
1015,شباب 00000,شباب ,youths
1016,الاتصال 00000,الاتصال ,Connection
1017,شهر 00000,شهر ,Month
1018,رأيته 00000,رأيته ,I saw him
1019,ممتاز 00000,ممتاز ,excellent
1020,حيال 00000,حيال ,About
1021,القتل 00000,القتل ,the kill
1022,سارة 00000,سارة ,pleasant
1023,اتفقنا 00000,اتفقنا ,We agreed
1024,أجد 00000,أجد ,I find
1025,أأنت 00000,أأنت ,You
1026,مفهوم 00000,مفهوم ,Concept
1027,ابي 00000,ابي ,My Father
1028,القادم 00000,القادم ,Next
1029,مختلفة 00000,مختلفة ,Different
1030,بإمكانك 00000,بإمكانك ,You can
1031,يعيش 00000,يعيش ,He lives
1032,الدكتور 00000,الدكتور ,Dr
1033,الفريق 00000,الفريق ,the team
1034,لفترة 00000,لفترة ,For a while
1035,ينتهي 00000,ينتهي ,finish
1036,المحتمل 00000,المحتمل ,Potential
1037,البلدة 00000,البلدة ,the town
1038,وأن 00000,وأن ,and that
1039,لطيفة 00000,لطيفة ,Latifa
1040,فعلها 00000,فعلها ,To do it
1041,مازال 00000,مازال ,Still
1042,القانون 00000,القانون ,Law
1043,ابدا 00000,ابدا ,Start
1044,قسم 00000,قسم ,Division
1045,والذي 00000,والذي ,And that
1046,فيلم 00000,فيلم ,Movie
1047,ولكنني 00000,ولكنني ,But I am
1048,جاهز 00000,جاهز ,Ready
1049,مرات 00000,مرات ,Times
1050,أحمق 00000,أحمق ,Foolish
1051,بشدة 00000,بشدة ,Hardly
1052,العرض 00000,العرض ,the offer
1053,سنكون 00000,سنكون ,We will be
1054,أولئك 00000,أولئك ,Those
1055,حوالي 00000,حوالي ,around
1056,قليل 00000,قليل ,a little
1057,بوب 00000,بوب ,Bob
1058,راي 00000,راي ,opinion
1059,وبعدها 00000,وبعدها ,and then
1060,لكننا 00000,لكننا ,But we
1061,وجه 00000,وجه ,Face
1062,تنظر 00000,تنظر ,Look
1063,أقسم 00000,أقسم ,I swear
1064,وهل 00000,وهل ,Is it?
1065,الشعور 00000,الشعور ,Feeling
1066,اسمعي 00000,اسمعي ,Listen
1067,يعتقد 00000,يعتقد ,Believes
1068,فلا 00000,فلا ,No
1069,رحلة 00000,رحلة ,a trip
1070,اللعبة 00000,اللعبة ,the game
1071,القاتل 00000,القاتل ,the killer
1072,عملي 00000,عملي ,my work
1073,تفعلي 00000,تفعلي ,Treat
1074,وكيف 00000,وكيف ,And how
1075,شعرت 00000,شعرت ,I felt
1076,داني 00000,داني ,Condemned
1077,دليل 00000,دليل ,Evidence
1078,الصور 00000,الصور ,Pictures
1079,الصحيح 00000,الصحيح ,the correct
1080,تركت 00000,تركت ,Left
1081,وإذا 00000,وإذا ,If
1082,الوغد 00000,الوغد ,villain
1083,اخرج 00000,اخرج ,Get out
1084,تبحث 00000,تبحث ,Look
1085,المكتب 00000,المكتب ,the desk
1086,أنتما 00000,أنتما ,you
1087,ماهو 00000,ماهو ,What is the
1088,مـن 00000,مـن ,From
1089,يموت 00000,يموت ,Dies
1090,تخرج 00000,تخرج ,Graduation
1091,اسمك 00000,اسمك ,Your Name
1092,امي 00000,امي ,my mother
1093,حاجة 00000,حاجة ,need
1094,القصة 00000,القصة ,the story
1095,اشعر 00000,اشعر ,I feel
1096,أنظري 00000,أنظري ,Look at
1097,عدت 00000,عدت ,I returned
1098,مازلت 00000,مازلت ,I am still
1099,السيطرة 00000,السيطرة ,the control
1100,علمت 00000,علمت ,I learned
1101,تستطيعين 00000,تستطيعين ,you can
1102,إني 00000,إني ,that I
1103,عاد 00000,عاد ,is back
1104,إعادة 00000,إعادة ,re
1105,زوجي 00000,زوجي ,my husband
1106,arabic 00000,arabic ,Arabic
1107,الفرصة 00000,الفرصة ,the opportunity
1108,كلنا 00000,كلنا ,all of us
1109,بالكامل 00000,بالكامل ,In full
1110,القهوة 00000,القهوة ,Coffee
1111,العميل 00000,العميل ,Client
1112,شي 00000,شي ,something
1113,ولقد 00000,ولقد ,And
1114,تبا 00000,تبا ,Die
1115,صديقك 00000,صديقك ,Your friend
1116,المعذرة 00000,المعذرة ,Excuse me
1117,قائمة 00000,قائمة ,existing
1118,ابني 00000,ابني ,my son
1119,أسفل 00000,أسفل ,lowest
1120,مساء 00000,مساء ,evening
1121,أعد 00000,أعد ,Prepared
1122,وضعت 00000,وضعت ,Developed
1123,هراء 00000,هراء ,Bullshit
1124,العثور 00000,العثور ,Find
1125,أطلق 00000,أطلق ,Release
1126,بالداخل 00000,بالداخل ,Inside
1127,قوة 00000,قوة ,Energy
1128,نيك 00000,نيك ,Nick
1129,وراء 00000,وراء ,behind
1130,حقيقية 00000,حقيقية ,Real
1131,خطة 00000,خطة ,plan
1132,عندك 00000,عندك ,you have
1133,حينها 00000,حينها ,Then
1134,ترغب 00000,ترغب ,You wish
1135,بماذا 00000,بماذا ,with what
1136,حتي 00000,حتي ,until
1137,مهمة 00000,مهمة ,a task
1138,ولكنك 00000,ولكنك ,But you
1139,أسف 00000,أسف ,Sorry
1140,قاتل 00000,قاتل ,killer
1141,نجد 00000,نجد ,We find
1142,أرغب 00000,أرغب ,I want
1143,موقع 00000,موقع ,Site
1144,عدا 00000,عدا ,Ever
1145,النقود 00000,النقود ,Cash
1146,مجددا 00000,مجددا ,again
1147,رأسك 00000,رأسك ,Your head
1148,أعرفه 00000,أعرفه ,I know him
1149,إمرأة 00000,إمرأة ,a woman
1150,ام 00000,ام ,Mother
1151,معى 00000,معى ,with me
1152,السفينة 00000,السفينة ,the ship
1153,تقلقي 00000,تقلقي ,Agent
1154,يصبح 00000,يصبح ,Become
1155,المشاكل 00000,المشاكل ,Problems
1156,معلومات 00000,معلومات ,informations
1157,تملك 00000,تملك ,Ownership
1158,عندها 00000,عندها ,Then
1159,يجعل 00000,يجعل ,Makes
1160,منزلي 00000,منزلي ,My house
1161,نظام 00000,نظام ,System
1162,تبدأ 00000,تبدأ ,start
1163,بعيد 00000,بعيد ,far
1164,أخبر 00000,أخبر ,Tell
1165,فإن 00000,فإن ,Be
1166,تجد 00000,تجد ,You find
1167,ضع 00000,ضع ,Put
1168,تحرك 00000,تحرك ,Move
1169,الأخبار 00000,الأخبار ,News
1170,كثيرة 00000,كثيرة ,a lot
1171,البحر 00000,البحر ,the sea
1172,ماتت 00000,ماتت ,she died
1173,تعلمون 00000,تعلمون ,You know
1174,البارحة 00000,البارحة ,yesterday
1175,كوني 00000,كوني ,Universal
1176,نقطة 0000,نقطة ,Point
1177,الميلاد 0000,الميلاد ,Birth
1178,القديم 0000,القديم ,the old
1179,تود 0000,تود ,You want
1180,قلبي 0000,قلبي ,My heart
1181,محاولة 0000,محاولة ,attempt
1182,رؤيتك 0000,رؤيتك ,seeing you
1183,أجلك 0000,أجلك ,To
1184,تمت 0000,تمت ,Dutly
1185,إيجاد 0000,إيجاد ,finding
1186,البشر 0000,البشر ,Humans
1187,أخبار 0000,أخبار ,News
1188,تزال 0000,تزال ,Remove
1189,جيمس 0000,جيمس ,James
1190,الغد 0000,الغد ,tomorrow
1191,أملك 0000,أملك ,Give up
1192,القيادة 0000,القيادة ,Leadership
1193,الكبيرة 0000,الكبيرة ,Great
1194,للأبد 0000,للأبد ,Forever
1195,سي 0000,سي ,bad
1196,أستطع 0000,أستطع ,I can
1197,ارجوك 0000,ارجوك ,I beg you
1198,ال 0000,ال ,The
1199,غبي 0000,غبي ,Stupid
1200,إلينا 0000,إلينا ,To us
1201,fnadobe 0000,fnadobe ,Fnadobe
1202,لكى 0000,لكى ,in order to
1203,عملك 0000,عملك ,Your work
1204,جيم 0000,جيم ,Jim
1205,الأرجح 0000,الأرجح ,Most likely
1206,المحكمة 0000,المحكمة ,Court
