nonsense,arabic,english 
العليا 0000,العليا ,Supreme
يستغرق 0000,يستغرق ,It takes
قاعة 0000,قاعة ,Hall
تمهل 0000,تمهل ,Slown down
ساره 0000,ساره ,Sarah
الطبيعي 0000,الطبيعي ,Normal
أرأيت 0000,أرأيت ,I saw
رئيسي 0000,رئيسي ,Main
الزهور 0000,الزهور ,The flowers
سآتي 0000,سآتي ,I will come
وكأن 0000,وكأن ,As if
استيقظ 0000,استيقظ ,He woke up
كوكب 0000,كوكب ,planet
اختفى 0000,اختفى ,disappear
سلسلة 0000,سلسلة ,series
أغلب 0000,أغلب ,most
انهض 0000,انهض ,stand up
علبة 0000,علبة ,can
وحدك 0000,وحدك ,Alone
القصص 0000,القصص ,Stories
وجدوا 0000,وجدوا ,they found
يقل 0000,يقل ,Decrease
الخاتم 0000,الخاتم ,Ring
يأتون 0000,يأتون ,They come
بوضع 0000,بوضع ,In place
ممتازة 0000,ممتازة ,Excellent
شين 0000,شين ,Shin
رؤيتها 0000,رؤيتها ,Seeing it
الأبواب 0000,الأبواب ,the doors
الجسر 0000,الجسر ,the bridge
تنجح 0000,تنجح ,Succeed
ويليام 0000,ويليام ,William
متزوج 0000,متزوج ,married
تشير 0000,تشير ,Indicate
الوقوف 0000,الوقوف ,stand up
إياها 0000,إياها ,Be careful
وبعض 0000,وبعض ,And some
تفكرين 0000,تفكرين ,You think
قارب 0000,قارب ,boat
سنتين 0000,سنتين ,Two years
اتذكر 0000,اتذكر ,Remember
كأنك 0000,كأنك ,As if you were
ستموت 0000,ستموت ,you will die
الفائدة 0000,الفائدة ,Benefit
خلفك 0000,خلفك ,Behind you
زعيم 0000,زعيم ,Leader
افعلها 0000,افعلها ,Do it
يريده 0000,يريده ,He wants it
هارفي 0000,هارفي ,Harvey
متأسف 0000,متأسف ,sorry
تايلور 0000,تايلور ,Taylor
تغيرت 0000,تغيرت ,Change
صحيحة 0000,صحيحة ,correct
إيدي 0000,إيدي ,Hands
الحريق 0000,الحريق ,Fire
وهكذا 0000,وهكذا ,And so on
مجلة 0000,مجلة ,magazine
سلاحك 0000,سلاحك ,Your weapon
الملفات 0000,الملفات ,Files
فعلوا 0000,فعلوا ,They did
بالأعلى 0000,بالأعلى ,Above
لعدم 0000,لعدم ,To not
أغادر 0000,أغادر ,Go out
طريقك 0000,طريقك ,Your way
اطلب 0000,اطلب ,I request
نمت 0000,نمت ,I slept
حاله 0000,حاله ,status
الأوامر 0000,الأوامر ,Orders
لايمكنك 0000,لايمكنك ,You can not
جنوب 0000,جنوب ,South
شديدة 0000,شديدة ,Highly
قتلته 0000,قتلته ,I kill him
التحرك 0000,التحرك ,Move
أظنني 0000,أظنني ,I think
مشروب 0000,مشروب ,Drink
غيرت 0000,غيرت ,Change
يجد 0000,يجد ,Find
ست 0000,ست ,six
إستمع 0000,إستمع ,Listen
بعنوان 0000,بعنوان ,Entitled
الفرقة 0000,الفرقة ,the band
يتغير 0000,يتغير ,Changing
شرف 0000,شرف ,honor
أوليفر 0000,أوليفر ,Oliver
قتلها 0000,قتلها ,killed her
الشجاعة 0000,الشجاعة ,Courage
قدمت 0000,قدمت ,Submitted
جندي 0000,جندي ,soldier
باري 0000,باري ,Barren
رفع 0000,رفع ,upload
أسماء 0000,أسماء ,names
البيرة 0000,البيرة ,Beer
أرحل 0000,أرحل ,Get out
حجم 0000,حجم ,size
لورا 0000,لورا ,Lura
لاحق 0000,لاحق ,Later
مبنى 0000,مبنى ,Building
جيش 0000,جيش ,army
مسلسل 0000,مسلسل ,a series
الكبرى 0000,الكبرى ,Major
البطل 0000,البطل ,Hero
فشلت 0000,فشلت ,Failed
بالحديث 0000,بالحديث ,By talking
الحساب 0000,الحساب ,the account
صالح 0000,صالح ,Valid
قتلوا 0000,قتلوا ,were killed
الخيار 0000,الخيار ,Option
ملف 0000,ملف ,a file
المكسيك 0000,المكسيك ,Mexico
خاصتي 0000,خاصتي ,of mine
للعودة 0000,للعودة ,To return
الأسنان 0000,الأسنان ,the teeth
واذا 0000,واذا ,If
عالي 0000,عالي ,high
مسافة 0000,مسافة ,distance
ن 0000,ن ,N
ضخمة 0000,ضخمة ,Huge
تساعدني 0000,تساعدني ,Help me
اطلق 0000,اطلق ,Release
رأي 0000,رأي ,Opinion
الغبية 0000,الغبية ,Stupid
المسافة 0000,المسافة ,distance
لحد 0000,لحد ,Limit
للشفقة 0000,للشفقة ,For compassion
قلبه 0000,قلبه ,His heart
دائرة 0000,دائرة ,Circle
الدور 0000,الدور ,Role
لاني 0000,لاني ,because I am
المقبل 0000,المقبل ,Next
مغلق 0000,مغلق ,Closed
بعضها 0000,بعضها ,Some of them
مخطئ 0000,مخطئ ,Wrong
الملف 0000,الملف ,File
كاذب 0000,كاذب ,Untruthful
هرقل 0000,هرقل ,Hercules
الكهرباء 0000,الكهرباء ,electricity
مالم 0000,مالم ,Unless
ناس 0000,ناس ,People
المتعة 0000,المتعة ,joy
اختيار 0000,اختيار ,Selection
فيبي 0000,فيبي ,Vibi
عثرت 0000,عثرت ,I found
لعينة 0000,لعينة ,Sample
الأحوال 0000,الأحوال ,Conditions
رفض 0000,رفض ,to reject
أخبرنا 0000,أخبرنا ,Tell us
النيران 0000,النيران ,Fire
بصورة 0000,بصورة ,In a way
وهنا 0000,وهنا ,Here
وها 0000,وها ,And here
فصل 0000,فصل ,Season
أماكن 0000,أماكن ,Places
ببطء 0000,ببطء ,slowly
السوء 0000,السوء ,Badness
لقاء 0000,لقاء ,Meeting
وعدت 0000,وعدت ,I promised
الأرقام 0000,الأرقام ,Numbers
الطب 0000,الطب ,Medicine
إم 0000,إم ,Mother
جيس 0000,جيس ,Jis
يقع 0000,يقع ,Located
مكاني 0000,مكاني ,my place
سنعود 0000,سنعود ,We will return
اصدقاء 0000,اصدقاء ,friends
يعيشون 0000,يعيشون ,They live
اود 0000,اود ,I would like
تصنع 0000,تصنع ,Manufactured
بحاجه 0000,بحاجه ,I need
البيضاء 0000,البيضاء ,White
النصف 0000,النصف ,Half
حارس 0000,حارس ,a guard
تعديل 0000,تعديل ,Modify
الرياح 0000,الرياح ,Wind
أفراد 0000,أفراد ,Individuals
كلية 0000,كلية ,College
أنام 0000,أنام ,I sleep
العمدة 0000,العمدة ,Mayor
الطلاق 0000,الطلاق ,Divorce
البيتزا 0000,البيتزا ,the pizza
يغادر 0000,يغادر ,Leaves
الدين 0000,الدين ,Religion
القدرة 0000,القدرة ,Ability
بدونك 0000,بدونك ,Without You
صباحا 0000,صباحا ,A.m
طاقة 0000,طاقة ,energy
الورق 0000,الورق ,Paper
سهلة 0000,سهلة ,Easy
ماعدا 0000,ماعدا ,except
قانوني 0000,قانوني ,legal
راحة 0000,راحة ,comfort
سباق 0000,سباق ,a race
مؤلم 0000,مؤلم ,painful
سيموت 0000,سيموت ,will die
خبر 0000,خبر ,news
أمامنا 0000,أمامنا ,Before us
طاولة 0000,طاولة ,table
فارغ 0000,فارغ ,Empty
شعورك 0000,شعورك ,How do you feel
بتحسن 0000,بتحسن ,Improved
الأفكار 0000,الأفكار ,Ideas
ماريا 0000,ماريا ,Maria
أحدا 0000,أحدا ,Anyone
بوسعك 0000,بوسعك ,You can
أيمكننا 0000,أيمكننا ,Can we
سيئا 0000,سيئا ,Badly
سأخرج 0000,سأخرج ,I will get out
شهادة 0000,شهادة ,certificate
مكانها 0000,مكانها ,Place
فيديو 0000,فيديو ,video
إنسان 0000,إنسان ,man
كذب 0000,كذب ,to lie
العلاقات 0000,العلاقات ,relations
بإمكانه 0000,بإمكانه ,It can
لسنوات 0000,لسنوات ,For years
بأسرع 0000,بأسرع ,Faster
لذيذ 0000,لذيذ ,Tasty
جلسة 0000,جلسة ,session
إجازة 0000,إجازة ,vacation
انسى 0000,انسى ,Forget
شعري 0000,شعري ,My hair
سأتولى 0000,سأتولى ,I will take over
عودة 0000,عودة ,back
أكيد 0000,أكيد ,Of course
أجعل 0000,أجعل ,Make
كنتما 0000,كنتما ,You are
تهرب 0000,تهرب ,evade
تتغير 0000,تتغير ,Change
رؤيتي 0000,رؤيتي ,My vision
يأكل 0000,يأكل ,He eats
الحلم 0000,الحلم ,the dream
توفي 0000,توفي ,Died
دوغ 0000,دوغ ,Doug
باقي 0000,باقي ,Remainder
الطبية 0000,الطبية ,Medical
لمرة 0000,لمرة ,Once
الخبز 0000,الخبز ,the bread
تدمير 0000,تدمير ,destruction
وأريد 0000,وأريد ,and I want
مستعدون 0000,مستعدون ,Ready
ساحة 0000,ساحة ,yard
التقرير 0000,التقرير ,the report
أشرب 0000,أشرب ,drink
قطار 0000,قطار ,Train
محمد 0000,محمد ,Mohammed
ذهبوا 0000,ذهبوا ,They went
صدقني 0000,صدقني ,Believe me
أطلقت 0000,أطلقت ,Launched
دعوة 0000,دعوة ,Call
بصوت 0000,بصوت ,Voice
مرور 0000,مرور ,passage
بحالة 0000,بحالة ,In case
الشأن 0000,الشأن ,Storm
سررت 0000,سررت ,I was pleased
الجنسية 0000,الجنسية ,Nationality
زفاف 0000,زفاف ,wedding
on 0000,on ,On
تحبني 0000,تحبني ,You love me
التركيز 0000,التركيز ,concentration
الحبوب 0000,الحبوب ,Grains
كأنها 0000,كأنها ,As if
الجدار 0000,الجدار ,Wall
معجبة 0000,معجبة ,Admiration
شرب 0000,شرب ,drink
أموال 0000,أموال ,funds
استعداد 0000,استعداد ,ready
ميشيل 0000,ميشيل ,Michelle
إل 0000,إل ,The
فلقد 0000,فلقد ,Possibly
يسبب 0000,يسبب ,it causes
للناس 0000,للناس ,For people
مئات 0000,مئات ,favorable
لقـد 0000,لقـد ,Possibly
هادئة 0000,هادئة ,Quiet
جيك 0000,جيك ,Jake
يعجبك 0000,يعجبك ,You like
نينا 0000,نينا ,Nina
العميلة 0000,العميلة ,Client
دوري 0000,دوري ,Cyclic
عين 0000,عين ,eye
الأوغاد 0000,الأوغاد ,Pipes
إتصال 0000,إتصال ,Contact
لوكاس 0000,لوكاس ,Lucas
we 0000,we ,We
ندخل 0000,ندخل ,We enter
نظرية 0000,نظرية ,theory
شهرين 0000,شهرين ,two months
أفكار 0000,أفكار ,ideas
أجهزة 0000,أجهزة ,Devices
ننظر 0000,ننظر ,Look
الأميرة 0000,الأميرة ,the princess
ه 0000,ه ,e
زيادة 0000,زيادة ,a plus
يمتلك 0000,يمتلك ,Ownership
الدعم 0000,الدعم ,the support
غاري 0000,غاري ,Gay
بينك 0000,بينك ,Between you
أخري 0000,أخري ,Other
لحظات 0000,لحظات ,Moments
إسمك 0000,إسمك ,Your Name
عائلته 0000,عائلته ,his family
المكالمة 0000,المكالمة ,The Call
أرتدي 0000,أرتدي ,wear
هـذه 0000,هـذه ,These
ظهري 0000,ظهري ,my back
بروس 0000,بروس ,Bruce
تحول 0000,تحول ,Transformation
مئة 0000,مئة ,one hundred
بانك 0000,بانك ,Pank
ذلـك 0000,ذلـك ,That
انكم 0000,انكم ,You
أخبرهم 0000,أخبرهم ,Tell them
إيميلي 0000,إيميلي ,Emily
الحارس 0000,الحارس ,Watchman
سري 0000,سري ,secret
قوى 0000,قوى ,strong
حمل 0000,حمل ,Pregnancy
لوحده 0000,لوحده ,Alone
جعلك 0000,جعلك ,Make you
الشىء 0000,الشىء ,Something
نفسى 0000,نفسى ,Myself
لدقيقة 0000,لدقيقة ,For a minute
الحياه 0000,الحياه ,life
تسجيل 0000,تسجيل ,registration
براد 0000,براد ,refrigerator
السيء 0000,السيء ,bad
ذكرت 0000,ذكرت ,mentioned
يستطع 0000,يستطع ,He can
بانه 0000,بانه ,It is
الصيد 0000,الصيد ,the hunt
كذبة 0000,كذبة ,a lie
الصواب 0000,الصواب ,Righteousness
لحسن 0000,لحسن ,Good
تفسير 0000,تفسير ,Explanation
المواد 0000,المواد ,Materials
خطبك 0000,خطبك ,Your sermon
الدواء 0000,الدواء ,Medicine
إنهاء 0000,إنهاء ,ending
بحقك 0000,بحقك ,You are right
القذر 0000,القذر ,dirty
وأنه 0000,وأنه ,And that
وكما 0000,وكما ,And as
حياتهم 0000,حياتهم ,their lives
المشاعر 0000,المشاعر ,Feelings
كمية 0000,كمية ,Quantity
يكفى 0000,يكفى ,It is enough
الأشجار 0000,الأشجار ,the trees
صحيحا 0000,صحيحا ,right
قتلك 0000,قتلك ,Kill you
يجلس 0000,يجلس ,Sits
عادل 0000,عادل ,Adel
بوسعنا 0000,بوسعنا ,We can
بسببك 0000,بسببك ,Because of you
أريك 0000,أريك ,Arik
مثالية 0000,مثالية ,Perfect
الممر 0000,الممر ,the passage
كيس 0000,كيس ,bag
ستان 0000,ستان ,Stan
العسل 0000,العسل ,Honey
والأن 0000,والأن ,And now
بمثل 0000,بمثل ,Likely
مساعد 0000,مساعد ,assistant
تعطي 0000,تعطي ,Give
سبع 0000,سبع ,seven
وزارة 0000,وزارة ,Ministry
التعرف 0000,التعرف ,Identify
oh 0000,oh ,oh
المجال 0000,المجال ,the field
بيث 0000,بيث ,Beth
اللازم 0000,اللازم ,Necessary
زجاجة 0000,زجاجة ,bottle
الرفاق 0000,الرفاق ,Comrades
بروك 0000,بروك ,Brook
تتبع 0000,تتبع ,Trace
لشراء 0000,لشراء ,To buy
أبقي 0000,أبقي ,Keep
سائق 0000,سائق ,driver
الأزرق 0000,الأزرق ,Blue
الظروف 0000,الظروف ,Circumstances
أنقذ 0000,أنقذ ,rescued
وكأنك 0000,وكأنك ,As if you were
المصعد 0000,المصعد ,the elevator
لنقل 0000,لنقل ,To transfer
الغريبة 0000,الغريبة ,Alien
مكافحة 0000,مكافحة ,Combat
نجح 0000,نجح ,Succeed
ابدأ 0000,ابدأ ,Start
كاميرا 0000,كاميرا ,Camera
هام 0000,هام ,Important
مدين 0000,مدين ,Debtor
أخ 0000,أخ ,brother
يومك 0000,يومك ,Your day
عـن 0000,عـن ,About
محتمل 0000,محتمل ,Possible
عمليات 0000,عمليات ,Operations
ضعف 0000,ضعف ,weakness
المثال 0000,المثال ,Proverb
وأين 0000,وأين ,And where
نفكر 0000,نفكر ,We think
يحضر 0000,يحضر ,Bring
الغاز 0000,الغاز ,Gas
محظوظة 0000,محظوظة ,Fortunate
ظهرك 0000,ظهرك ,Your back
جنرال 0000,جنرال ,Gen
ولكنهم 0000,ولكنهم ,But they
وكأنها 0000,وكأنها ,As if
ملاحظة 0000,ملاحظة ,note
تخبرنا 0000,تخبرنا ,You tell us
الطبيبة 0000,الطبيبة ,Doctor
تبدوا 0000,تبدوا ,They appear
ي 0000,ي ,J
نجم 0000,نجم ,a star
الكرسي 0000,الكرسي ,the chair
قتال 0000,قتال ,fighting
مرحى 0000,مرحى ,Hurrah
صلة 0000,صلة ,Link
روبي 0000,روبي ,Tubes
طريقها 0000,طريقها ,Its way
ترد 0000,ترد ,Reject
ذاته 0000,ذاته ,same
تريدي 0000,تريدي ,Repetition
الآخرون 0000,الآخرون ,the others
بلدة 0000,بلدة ,town
أخيك 0000,أخيك ,Your brother
الجنوب 0000,الجنوب ,the South
فتاه 0000,فتاه ,girl
حوض 0000,حوض ,pelvis
أنكما 0000,أنكما ,You are
ايه 0000,ايه ,any
جائزة 0000,جائزة ,prize
أقبل 0000,أقبل ,Accept
للحياة 0000,للحياة ,for life
السياره 0000,السياره ,The Car
أوليفيا 0000,أوليفيا ,Olivia
والدة 0000,والدة ,mother
تلقي 0000,تلقي ,Receive
مغادرة 0000,مغادرة ,Departure
أحياء 0000,أحياء ,alive
شـيء 0000,شـيء ,Something
للمدرسة 0000,للمدرسة ,for school
بوث 0000,بوث ,Spin
شبح 0000,شبح ,ghost
أمه 0000,أمه ,his mom
خلفي 0000,خلفي ,Rear
فقدنا 0000,فقدنا ,We lost
المدرب 0000,المدرب ,the coach
تؤمن 0000,تؤمن ,believe
ابى 0000,ابى ,My Father
العزيز 0000,العزيز ,dear
الحمل 0000,الحمل ,Load
أوامر 0000,أوامر ,orders
واقع 0000,واقع ,reality
بمن 0000,بمن ,With
تمزحين 0000,تمزحين ,You are joking
أشاهد 0000,أشاهد ,I see
أعطيني 0000,أعطيني ,give me
أصيب 0000,أصيب ,Hide
مقابلتك 0000,مقابلتك ,I met you
تنظيف 0000,تنظيف ,cleaning
سئمت 0000,سئمت ,Fed up
المقعد 0000,المقعد ,the seat
غرفتك 0000,غرفتك ,your room
سالي 0000,سالي ,Sally
ماغي 0000,ماغي ,Maggie
تساعد 0000,تساعد ,help
استطع 0000,استطع ,Can
آندي 0000,آندي ,dew
ك 0000,ك ,K
تكتب 0000,تكتب ,Write
تودين 0000,تودين ,You want
ليكس 0000,ليكس ,Lex
سابقا 0000,سابقا ,previously
الاستماع 0000,الاستماع ,Listen
مارشال 0000,مارشال ,Marshall
نحب 0000,نحب ,Love
الرؤية 0000,الرؤية ,Vision
العكس 0000,العكس ,Opposite
الشرطه 0000,الشرطه ,the police
سمك 0000,سمك ,fish
يهرب 0000,يهرب ,escape from
مؤخرا 0000,مؤخرا ,Recently
عديم 0000,عديم ,Inactive
منظمة 0000,منظمة ,organisation
رجالي 0000,رجالي ,Male
بالتاكيد 0000,بالتاكيد ,Certainly
اخي 0000,اخي ,Brother
الإشارة 0000,الإشارة ,Signal
ساحرة 0000,ساحرة ,charming
إستخدام 0000,إستخدام ,Use
حقير 0000,حقير ,despicable
أظنه 0000,أظنه ,I think it
العظيمة 0000,العظيمة ,Great
عادية 0000,عادية ,Normal
إضافية 0000,إضافية ,Additional
المادة 0000,المادة ,Subject
منزلنا 0000,منزلنا ,Our house
حصان 0000,حصان ,horse
إلقاء 0000,إلقاء ,throw
تقابلنا 0000,تقابلنا ,We met us
إجلس 0000,إجلس ,sat down
النتائج 0000,النتائج ,Results
سويا 0000,سويا ,together
مورغان 0000,مورغان ,Morgan
الغناء 0000,الغناء ,singing
سألت 0000,سألت ,I asked
رايلي 0000,رايلي ,Rayli
قوانين 0000,قوانين ,Regulations
سأقتلك 0000,سأقتلك ,I will kill you
عربة 0000,عربة ,trolley
وتلك 0000,وتلك ,And that
مؤخرتي 0000,مؤخرتي ,My ass
الضروري 0000,الضروري ,the necessary
إحضار 0000,إحضار ,Bring
تفتح 0000,تفتح ,open
صيد 0000,صيد ,Fishing
إبنتي 0000,إبنتي ,My daughter
كلكم 0000,كلكم ,all of you
مستر 0000,مستر ,Mr.
تعرضت 0000,تعرضت ,Exposed
مثلها 0000,مثلها ,Similar
المركزية 0000,المركزية ,Central
النجاح 0000,النجاح ,Success
سجلات 0000,سجلات ,Records
الشرب 0000,الشرب ,Drinking
بحيث 0000,بحيث ,in which
إيريك 0000,إيريك ,Eric
العقد 0000,العقد ,Contract
مستقبل 0000,مستقبل ,future
عزيزى 0000,عزيزى ,Dear
الاخر 0000,الاخر ,Other
آكل 0000,آكل ,ate
يده 0000,يده ,His hand
سيارته 0000,سيارته ,His car
شاي 0000,شاي ,tea
ويلسون 0000,ويلسون ,Wilson
الوثوق 0000,الوثوق ,Trust
بمثابة 0000,بمثابة ,As
اسفه 0000,اسفه ,sorry
حديث 0000,حديث ,accident
تكساس 0000,تكساس ,Texas
جميله 0000,جميله ,Beautiful
شمال 0000,شمال ,north
أريدها 0000,أريدها ,I want it
الأمام 0000,الأمام ,Front
سخيفة 0000,سخيفة ,Generous
المحامي 0000,المحامي ,Lawyer
سأحتاج 0000,سأحتاج ,I will need
لحظه 0000,لحظه ,Moment
بحث 0000,بحث ,Search
أليسون 0000,أليسون ,Alison
يستمر 0000,يستمر ,Lasts
بحثت 0000,بحثت ,I looked
الوطن 0000,الوطن ,Motherland
شو 0000,شو ,what
العالمية 0000,العالمية ,Globalism
التكلم 0000,التكلم ,talking
is 0000,is ,Is
يقصد 0000,يقصد ,Intended
أمرك 0000,أمرك ,I command you
كدت 0000,كدت ,Almost
هيي 0000,هيي ,Beyond
يغير 0000,يغير ,Change
الحليب 0000,الحليب ,the milk
العملاء 0000,العملاء ,Clients
قاسية 0000,قاسية ,Harsh
إنتهت 0000,إنتهت ,Expired
لعمل 0000,لعمل ,To do
الجبل 0000,الجبل ,the mountain
بارع 0000,بارع ,witty
عبقري 0000,عبقري ,genius
الزعيم 0000,الزعيم ,Leader
تهديد 0000,تهديد ,A threat
يحتاجون 0000,يحتاجون ,They need
تدريب 0000,تدريب ,Training
خاتم 0000,خاتم ,ring
أصبت 0000,أصبت ,I was hit
لاتقلق 0000,لاتقلق ,do not worry
بيضاء 0000,بيضاء ,White
امام 0000,امام ,Before
هاوس 0000,هاوس ,Hook
آلي 0000,آلي ,to me
الوعي 0000,الوعي ,Awareness
أقدام 0000,أقدام ,Feet
حسنآ 0000,حسنآ ,Good
المختبر 0000,المختبر ,Laboratory
دينيس 0000,دينيس ,Dennis
الكمبيوتر 0000,الكمبيوتر ,Computer
النفسي 0000,النفسي ,Psychological
الحمض 0000,الحمض ,Acid
لانني 0000,لانني ,because I
تقرأ 0000,تقرأ ,Read
رجالك 0000,رجالك ,Your men
أقرأ 0000,أقرأ ,Read
أخبرتها 0000,أخبرتها ,I told her
قلتي 0000,قلتي ,You said
العنف 0000,العنف ,Violence
التأمين 0000,التأمين ,Insurance
بالنسبه 0000,بالنسبه ,about
all 0000,all ,All
التسجيل 0000,التسجيل ,Register
إنهما 0000,إنهما ,They are
هنـاك 0000,هنـاك ,There
كارلوس 0000,كارلوس ,Carlos
السائق 0000,السائق ,the driver
تمتلك 0000,تمتلك ,Ownership
دار 0000,دار ,Dar: house
المفروض 0000,المفروض ,Assumed
السرطان 0000,السرطان ,cancer
أقف 0000,أقف ,Stand up
الراديو 0000,الراديو ,the radio
فخورة 0000,فخورة ,Proud
سطح 0000,سطح ,Surface
دوك 0000,دوك ,Doc
مقتل 0000,مقتل ,Killing
الجوار 0000,الجوار ,Neighborhood
أجرة 0000,أجرة ,Rent
حاولي 0000,حاولي ,Try
أوروبا 0000,أوروبا ,Europe
قطعت 0000,قطعت ,I cut
الثلاثاء 0000,الثلاثاء ,Tuesday
للأمام 0000,للأمام ,Forward
ستفعله 0000,ستفعله ,You will do it
عصير 0000,عصير ,juice
تدع 0000,تدع ,Let down
وقتي 0000,وقتي ,Temporary
تعجبني 0000,تعجبني ,I like
سانت 0000,سانت ,Saint
ميكي 0000,ميكي ,Mickey
ليمون 0000,ليمون ,Lemon
العظام 0000,العظام ,Bones
ليام 0000,ليام ,Liam
الرأي 0000,الرأي ,The opinion
أفلام 0000,أفلام ,Movies
تريدينه 0000,تريدينه ,You want it
تراجعوا 0000,تراجعوا ,They retreated
مواجهة 0000,مواجهة ,Confrontation
كشف 0000,كشف ,a statement
هادئ 0000,هادئ ,calm
دقيقه 0000,دقيقه ,minute
تكونى 0000,تكونى ,You are
إثبات 0000,إثبات ,Proof
رمز 0000,رمز ,Code
أحمل 0000,أحمل ,I carry
ثواني 0000,ثواني ,Seconds
التوقيت 0000,التوقيت ,Timing
دعها 0000,دعها ,Leave it
رفضت 0000,رفضت ,She rejected
إصلاح 0000,إصلاح ,Repair
المشهد 0000,المشهد ,the scene
حمقاء 0000,حمقاء ,Foolish
المفتش 0000,المفتش ,Inspector
خسارة 0000,خسارة ,Loss
اعود 0000,اعود ,I come back
للخطر 0000,للخطر ,Risk
حار 0000,حار ,hot
الحراس 0000,الحراس ,Guards
وعد 0000,وعد ,a promise
الحجم 0000,الحجم ,the size
إنظري 0000,إنظري ,Look at
لأننى 0000,لأننى ,because I
المره 0000,المره ,Time
الزاوية 0000,الزاوية ,the corner
ذي 0000,ذي ,Dhimn
المشروع 0000,المشروع ,The project
نغادر 0000,نغادر ,We leave
أهي 0000,أهي ,Delicious
عجلة 0000,عجلة ,wheel
متزوجة 0000,متزوجة ,married
نعرفه 0000,نعرفه ,We know it
رون 0000,رون ,Ron
عكس 0000,عكس ,Reverse
إبقى 0000,إبقى ,Keep
الشرق 0000,الشرق ,the East
لمساعدة 0000,لمساعدة ,To help
أؤكد 0000,أؤكد ,I emphasize
زيارة 0000,زيارة ,Visit
الغذاء 0000,الغذاء ,Food
السادس 0000,السادس ,VI
صبي 0000,صبي ,Boy
وسيكون 0000,وسيكون ,And it will be
ليز 0000,ليز ,Liz
البقر 0000,البقر ,Cow
العاصفة 0000,العاصفة ,Storm
سلطة 0000,سلطة ,Salad
ألعاب 0000,ألعاب ,Toys
أظهر 0000,أظهر ,show up
اخذت 0000,اخذت ,I took
ظل 0000,ظل ,Shade
دورة 0000,دورة ,Course
روي 0000,روي ,Tell
تأمين 0000,تأمين ,insurance
الفتاه 0000,الفتاه ,the girl
الكتابة 0000,الكتابة ,Writing
اللغة 0000,اللغة ,the language
سعيده 0000,سعيده ,happy
لسماع 0000,لسماع ,To hear
المحلفين 0000,المحلفين ,Jurists
بارني 0000,بارني ,Barn
حذاء 0000,حذاء ,Shoe
طاب 0000,طاب ,Good
إتصلت 0000,إتصلت ,I called
س 0000,س ,s
قلبية 0000,قلبية ,Heart attack
الشبكة 0000,الشبكة ,the network
وافقت 0000,وافقت ,Approved
تمسك 0000,تمسك ,Hold
مايا 0000,مايا ,Maya
مزعج 0000,مزعج ,annoying
فشل 0000,فشل ,to fail
حكم 0000,حكم ,Rule
الجليد 0000,الجليد ,Ice
المقابلة 0000,المقابلة ,the interview
صف 0000,صف ,Row
تقضي 0000,تقضي ,Stipulate
أتعتقدين 0000,أتعتقدين ,Do you think
ارجع 0000,ارجع ,come back
حبوب 0000,حبوب ,pills
لعدة 0000,لعدة ,For
تحتاجه 0000,تحتاجه ,You need it
ليندا 0000,ليندا ,Linda
الموجود 0000,الموجود ,Existing
نصيحة 0000,نصيحة ,advice
الأطوار 0000,الأطوار ,Phases
الحماية 0000,الحماية ,Protection
خاصتك 0000,خاصتك ,thy
كبيره 0000,كبيره ,big
كاميرات 0000,كاميرات ,Cameras
هـو 0000,هـو ,It is
فين 0000,فين ,where
العسكرية 0000,العسكرية ,Military
قواعد 0000,قواعد ,Grammar
قوات 0000,قوات ,Forces
المقدس 0000,المقدس ,holy
كون 0000,كون ,Universe
أنقذت 0000,أنقذت ,Save
الصحراء 0000,الصحراء ,the desert
راندي 0000,راندي ,Randy
الجراحة 0000,الجراحة ,Surgery
الحفاظ 0000,الحفاظ ,Preservation
أعطي 0000,أعطي ,gave
أخذها 0000,أخذها ,Take it
بالمال 0000,بالمال ,With money
أخذه 0000,أخذه ,took him
ميامي 0000,ميامي ,Miami
لأجله 0000,لأجله ,for him
قرر 0000,قرر ,He decided
الجنة 0000,الجنة ,the Paradise
متعب 0000,متعب ,Tired
جائعة 0000,جائعة ,hungry
الهدوء 0000,الهدوء ,Calmness
نسبة 0000,نسبة ,Rate
أمريكي 0000,أمريكي ,American
جدول 0000,جدول ,Schedule
بينهم 0000,بينهم ,between them
مخطئة 0000,مخطئة ,Wrong
الصحافة 0000,الصحافة ,the press
تتمكن 0000,تتمكن ,You can
مهتمة 0000,مهتمة ,Interested
نائم 0000,نائم ,sleeping
المشفى 0000,المشفى ,Hospital
مقاطعة 0000,مقاطعة ,boycott
المحادثة 0000,المحادثة ,Conversation
جاري 0000,جاري ,my neighbour
القصر 0000,القصر ,the palace
قدمي 0000,قدمي ,my foot
بوسطن 0000,بوسطن ,Boston
حزينة 0000,حزينة ,Sad
لولا 0000,لولا ,If not
توبي 0000,توبي ,Toby
متأكده 0000,متأكده ,Surely
الصحيحة 0000,الصحيحة ,Right
الشتاء 0000,الشتاء ,winter
أنتهي 0000,أنتهي ,is over
القبو 0000,القبو ,the basement
للأطفال 0000,للأطفال ,for kids
الخطوة 0000,الخطوة ,Step
جسدي 0000,جسدي ,physical
مليء 0000,مليء ,full of
كيرا 0000,كيرا ,Keira
نجاح 0000,نجاح ,Success
اختفت 0000,اختفت ,Disappearance
تتذكرين 0000,تتذكرين ,You remember
بتهمة 0000,بتهمة ,On charges
صوفي 0000,صوفي ,Sufi
your 0000,your ,Your
